fieldUri|geometry|canalUri|cropUri|farmerUri|cropLabel
http://swamp-project.org/cbec/field_638|{"type":"MultiPolygon","coordinates":[[[[10.6306625818504,44.7438768736642],[10.6311829752418,44.7436902798672],[10.6306127331193,44.7429166259592],[10.6300366060587,44.7431528750537],[10.6306625818504,44.7438768736642]]],[[[10.6306240429654,44.742835151643],[10.634520929086,44.7415020479624],[10.6338701695277,44.7405143689357],[10.6307297283122,44.7415406696195],[10.6293352906425,44.7397535260849],[10.62854635743,44.7400685501943],[10.6306240429654,44.742835151643]]],[[[10.6296814606219,44.7427395606395],[10.630222221688,44.7425371176696],[10.6297683937332,44.7419438427103],[10.629283133868,44.7421766477068],[10.6296814606219,44.7427395606395]]]]}|http://swamp-project.org/cbec/canal_I3005|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_101617|PRATO STABILE
http://swamp-project.org/cbec/field_21132|{"type":"MultiPolygon","coordinates":[[[[10.6833703593845,44.7921175647197],[10.6839472005465,44.7918469257217],[10.6831369371433,44.7906960589914],[10.6823107292845,44.7895730374969],[10.6816675860707,44.78986221953],[10.6833703593845,44.7921175647197]]]]}|http://swamp-project.org/cbec/canal_I3000|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_60608|PRATO STABILE
http://swamp-project.org/cbec/field_24640|{"type":"MultiPolygon","coordinates":[[[[10.5800009953075,44.8168604635068],[10.5809891412597,44.8165232940651],[10.5805678800069,44.815891123099],[10.581708179673,44.8155787992867],[10.5809375708001,44.8143090608346],[10.5805746948159,44.8144249251189],[10.5793314251645,44.8127968448644],[10.5787752645106,44.8130022257175],[10.5793750590347,44.8139329639484],[10.5789496761061,44.8140736352906],[10.5787448841587,44.8137394935046],[10.5785621484494,44.8137510054771],[10.578215115845,44.8137558018334],[10.5778867672615,44.813751353037],[10.5777017045518,44.8136775292742],[10.5776859012594,44.8135609302662],[10.5777273747519,44.813461511872],[10.5777440993838,44.813380407277],[10.5776238487641,44.8133685896015],[10.5774920808897,44.8133973676596],[10.5770973885206,44.8135061573508],[10.576815901583,44.8135999037504],[10.5769906692943,44.8137592376222],[10.5771406328059,44.8137032510171],[10.5778660511381,44.8148434318784],[10.5785741575084,44.814653927211],[10.5785741575084,44.814653927211],[10.5800009953075,44.8168604635068]]]]}|http://swamp-project.org/cbec/canal_BBE398|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_91018181|PRATO STABILE
http://swamp-project.org/cbec/field_25973|{"type":"MultiPolygon","coordinates":[[[[10.5862692330546,44.8095742027064],[10.5867546167447,44.8094481908987],[10.5861318212532,44.8083980106853],[10.5859659401872,44.8084194759759],[10.5858414675184,44.8083360870218],[10.5857718216145,44.8083280681722],[10.5855836569541,44.8083711176245],[10.585534086253,44.808400202407],[10.586015633341,44.8091768210077],[10.5862692330546,44.8095742027064]]]]}|http://swamp-project.org/cbec/canal_BBE462|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90700738|PRATO STABILE
http://swamp-project.org/cbec/field_25975|{"type":"MultiPolygon","coordinates":[[[[10.5744420096989,44.8140960416473],[10.575180118698,44.8138817696063],[10.5744612407907,44.812703985459],[10.5738266101098,44.8128689295634],[10.5739482723702,44.8130382503452],[10.57419956405,44.8137298087114],[10.5744420096989,44.8140960416473]]]]}|http://swamp-project.org/cbec/canal_BBE398|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_91225556|PRATO STABILE
http://swamp-project.org/cbec/field_1093|{"type":"MultiPolygon","coordinates":[[[[10.7096941016283,44.7300638679829],[10.7105614814271,44.7300345912122],[10.7105355671261,44.7291554555761],[10.7107401497097,44.7291198160134],[10.7104397467544,44.727454849026],[10.709299795009,44.7275370675199],[10.7096941016283,44.7300638679829]]]]}|http://swamp-project.org/cbec/canal_I3073|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90118|PRATO STABILE
http://swamp-project.org/cbec/field_25706|{"type":"MultiPolygon","coordinates":[[[[10.4966738456784,44.6976019422449],[10.4957660748402,44.6978187849297],[10.4971980233371,44.7004204558334],[10.4981337767258,44.7000934400866],[10.4979087082506,44.6997230902367],[10.4978156199322,44.6996950325188],[10.4977540641432,44.699695839792],[10.4976909992926,44.6996381096462],[10.4976986177211,44.6995355346826],[10.4974984105807,44.6993332098506],[10.4973924235611,44.6992028458488],[10.4972817226099,44.6988895523526],[10.4972281639933,44.6988024187234],[10.4972255240443,44.69869997826],[10.4970956267213,44.6984381737508],[10.4969569798037,44.6982350409549],[10.4968701944687,44.6980531872192],[10.496784352222,44.6979079192974],[10.4966738456784,44.6976019422449]]]]}|http://swamp-project.org/cbec/canal_CE174|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_91281674|PRATO STABILE
http://swamp-project.org/cbec/field_31390|{"type":"MultiPolygon","coordinates":[[[[10.5408351064523,44.8073444623031],[10.541330340277,44.8081976847262],[10.5414185215446,44.8081737323752],[10.5415481436748,44.8083717842614],[10.5424961526397,44.8080833084212],[10.5420679271962,44.8073455263866],[10.5418779680776,44.8074163777966],[10.5419559836104,44.8075443102562],[10.541522387391,44.807671562143],[10.5412613969788,44.8072097242174],[10.5408351064523,44.8073444623031]]]]}|http://swamp-project.org/cbec/canal_BBE041|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_91020195|PRATO STABILE
http://swamp-project.org/cbec/field_21358|{"type":"MultiPolygon","coordinates":[[[[10.6820277652994,44.6368066415057],[10.6822536249481,44.636713588982],[10.682453856516,44.6366298708415],[10.6812303215427,44.6352688130988],[10.6810702423305,44.6353361480666],[10.6809087037178,44.6353608064861],[10.681159723317,44.6356851274739],[10.6813350342563,44.6359116365242],[10.6820277652994,44.6368066415057]]]]}|http://swamp-project.org/cbec/canal_I7025|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_11517|PRATO STABILE
http://swamp-project.org/cbec/field_33798|{"type":"MultiPolygon","coordinates":[[[[10.4643606576502,44.6657032931935],[10.4645694805659,44.6657288633464],[10.4650936687012,44.6656691996562],[10.4649786030191,44.6654177598169],[10.4655240995936,44.6652941707491],[10.4654218190043,44.6650896095245],[10.4656860439043,44.6650427309091],[10.4653749403833,44.6644162621617],[10.4647740417893,44.664586729848],[10.4649104159383,44.6650512542933],[10.46364895506,44.6653580961287],[10.4643606576502,44.6657032931935]]]]}|http://swamp-project.org/cbec/canal_CE229|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_91005389|PRATO STABILE
